proyecto_idproyecto,id_visita,id_partida,id_subpartida,proyecto_estado,proyecto_monto,catalogo_tipo_id_tipo,id_cliente,m2c,proyecto_duracion,porcentaje_real,porcentaje_programado,duplicado,diferencia,SinceridadAcumuladaTopadaMetodo3,SinceridadGeneralProyecto
1003,5,2,11,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
1003,5,2,12,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
1003,5,2,13,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
1003,5,2,14,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
1003,5,2,15,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
1004,1,2,1,11,13226918.0,4,1,19650.0,3,23.89,100.0,1,-76.11,0.1549115007378525,0.1549115007378525
1004,1,3,1,11,13226918.0,4,1,19650.0,3,30.19,0.0,1,30.19,0.1549115007378525,0.1549115007378525
1004,1,4,1,11,13226918.0,4,1,19650.0,3,10.66,0.0,1,10.66,0.1549115007378525,0.1549115007378525
1005,1,3,1,9,75047000.0,3,1,30430.87,5,99.999,0.0,1,99.999,1.0,0.9876729843773568
1005,1,3,2,9,75047000.0,3,1,30430.87,5,99.999,0.0,1,99.999,1.0,0.9876729843773568
1005,2,3,1,9,75047000.0,3,1,30430.87,5,53.11,65.7288971,1,-12.618897099999998,0.922048519434692,0.9876729843773568
1005,2,3,2,9,75047000.0,3,1,30430.87,5,7.05,0.862069,1,6.187931,0.922048519434692,0.9876729843773568
1005,2,3,3,9,75047000.0,3,1,30430.87,5,2.97,1.5513126,1,1.4186874000000005,0.922048519434692,0.9876729843773568
1005,3,3,1,9,75047000.0,3,1,30430.87,5,60.32,51.150894,1,9.169106,0.9876729843773568,0.9876729843773568
1005,3,3,2,9,75047000.0,3,1,30430.87,5,3.09,1.3904339,1,1.6995661,0.9876729843773568,0.9876729843773568
1005,3,3,3,9,75047000.0,3,1,30430.87,5,2.48,1.372315,1,1.107685,0.9876729843773568,0.9876729843773568
1005,3,3,6,9,75047000.0,3,1,30430.87,5,75.0,52.2477512,1,22.7522488,0.9876729843773568,0.9876729843773568
1006,2,2,1,3,169290000.0,3,1,94662.0,3,88.66,91.1475415,0,-2.487541500000006,0.9395025733299348,0.9861232299205188
1006,2,2,2,3,169290000.0,3,1,94662.0,3,87.42,91.3226643,0,-3.902664299999998,0.9395025733299348,0.9861232299205188
1006,2,2,3,3,169290000.0,3,1,94662.0,3,88.76,89.6226366,0,-0.8626366000000019,0.9395025733299348,0.9861232299205188
1006,2,2,4,3,169290000.0,3,1,94662.0,3,79.14,98.1308319,0,-18.990831900000003,0.9395025733299348,0.9861232299205188
1006,2,2,5,3,169290000.0,3,1,94662.0,3,85.0,84.9264676,0,0.0735324000000048,0.9395025733299348,0.9861232299205188
1006,2,2,6,3,169290000.0,3,1,94662.0,3,80.0,82.7027001,0,-2.7027001000000013,0.9395025733299348,0.9861232299205188
1006,2,2,7,3,169290000.0,3,1,94662.0,3,50.0,73.6585378,0,-23.658537800000005,0.9395025733299348,0.9861232299205188
1006,2,2,8,3,169290000.0,3,1,94662.0,3,75.0,76.5690361,0,-1.5690361000000053,0.9395025733299348,0.9861232299205188
1006,2,2,9,3,169290000.0,3,1,94662.0,3,90.0,90.6103213,0,-0.6103212999999954,0.9395025733299348,0.9861232299205188
1006,2,2,10,3,169290000.0,3,1,94662.0,3,96.99,100.0876444,0,-3.097644400000007,0.9395025733299348,0.9861232299205188
1006,2,2,11,3,169290000.0,3,1,94662.0,3,93.13,100.0,0,-6.8700000000000045,0.9395025733299348,0.9861232299205188
1006,2,2,12,3,169290000.0,3,1,94662.0,3,91.57,99.425282,0,-7.855282000000002,0.9395025733299348,0.9861232299205188
1006,2,2,13,3,169290000.0,3,1,94662.0,3,86.77,89.5575196,0,-2.78751960000001,0.9395025733299348,0.9861232299205188
1006,3,2,1,3,169290000.0,3,1,94662.0,3,100.0,100.0,0,0.0,0.9861232299205188,0.9861232299205188
1006,3,2,2,3,169290000.0,3,1,94662.0,3,100.0,100.0,0,0.0,0.9861232299205188,0.9861232299205188
1006,3,2,3,3,169290000.0,3,1,94662.0,3,100.0,100.0,0,0.0,0.9861232299205188,0.9861232299205188
1006,3,2,4,3,169290000.0,3,1,94662.0,3,100.0,100.0,0,0.0,0.9861232299205188,0.9861232299205188
1006,3,2,5,3,169290000.0,3,1,94662.0,3,100.0,100.0,0,0.0,0.9861232299205188,0.9861232299205188
1006,3,2,6,3,169290000.0,3,1,94662.0,3,100.0,100.0,0,0.0,0.9861232299205188,0.9861232299205188
1006,3,2,7,3,169290000.0,3,1,94662.0,3,100.0,100.0,0,0.0,0.9861232299205188,0.9861232299205188
1006,3,2,8,3,169290000.0,3,1,94662.0,3,100.0,100.0,0,0.0,0.9861232299205188,0.9861232299205188
1006,3,2,9,3,169290000.0,3,1,94662.0,3,100.0,100.0,0,0.0,0.9861232299205188,0.9861232299205188
1006,3,2,10,3,169290000.0,3,1,94662.0,3,100.0,100.0,0,0.0,0.9861232299205188,0.9861232299205188
1006,3,2,11,3,169290000.0,3,1,94662.0,3,100.0,100.0,0,0.0,0.9861232299205188,0.9861232299205188
1006,3,2,12,3,169290000.0,3,1,94662.0,3,100.0,100.0,0,0.0,0.9861232299205188,0.9861232299205188
1006,3,2,13,3,169290000.0,3,1,94662.0,3,100.0,100.0,0,0.0,0.9861232299205188,0.9861232299205188
1007,1,2,1,11,5841536.0,4,1,6332.05,6,90.0,33.3194998,0,56.6805002,1.0,1.0
